time,CH1,CH2,REF1,REF2
   0.000102,   0.480000,  -1.200000,   0.640000,  -2.000000
   0.000102,   0.480000,  -1.200000,   0.720000,  -2.000000
   0.000102,   0.560000,  -1.200000,   0.720000,  -2.000000
   0.000102,   0.560000,  -1.000000,   0.800000,  -2.000000
   0.000102,   0.560000,  -1.000000,   0.800000,  -1.800000
   0.000103,   0.560000,  -1.000000,   0.880000,  -2.000000
   0.000103,   0.640000,  -1.000000,   0.880000,  -2.000000
   0.000103,   0.640000,  -1.000000,   0.960000,  -1.800000
   0.000103,   0.720000,  -1.000000,   0.960000,  -1.800000
   0.000104,   0.720000,  -1.000000,   0.960000,  -1.800000
   0.000104,   0.720000,  -1.000000,   1.040000,  -1.800000
   0.000104,   0.720000,  -1.000000,   1.040000,  -1.800000
   0.000104,   0.720000,  -1.000000,   1.120000,  -1.800000
   0.000105,   0.800000,  -1.000000,   1.200000,  -1.600000
   0.000105,   0.800000,  -0.800000,   1.200000,  -1.600000
   0.000105,   0.800000,  -0.800000,   1.200000,  -1.600000
   0.000105,   0.800000,  -0.800000,   1.280000,  -1.600000
   0.000106,   0.880000,  -0.800000,   1.280000,  -1.600000
   0.000106,   0.880000,  -0.800000,   1.280000,  -1.600000
   0.000106,   0.880000,  -0.800000,   1.360000,  -1.600000
   0.000107,   0.880000,  -0.800000,   1.360000,  -1.600000
   0.000107,   0.960000,  -0.800000,   1.440000,  -1.600000
   0.000107,   0.960000,  -0.800000,   1.440000,  -1.600000
   0.000107,   0.960000,  -0.800000,   1.520000,  -1.400000
   0.000107,   0.960000,  -0.800000,   1.520000,  -1.400000
   0.000108,   1.040000,  -0.800000,   1.520000,  -1.400000
   0.000108,   1.040000,  -0.800000,   1.600000,  -1.400000
   0.000108,   1.040000,  -0.600000,   1.600000,  -1.400000
   0.000108,   1.120000,  -0.600000,   1.680000,  -1.400000
   0.000109,   1.120000,  -0.600000,   1.680000,  -1.400000
   0.000109,   1.120000,  -0.600000,   1.680000,  -1.400000
   0.000109,   1.120000,  -0.600000,   1.760000,  -1.200000
   0.000109,   1.120000,  -0.600000,   1.760000,  -1.200000
   0.000110,   1.200000,  -0.600000,   1.840000,  -1.200000
   0.000110,   1.120000,  -0.600000,   1.840000,  -1.200000
   0.000110,   1.200000,  -0.600000,   1.840000,  -1.200000
   0.000110,   1.200000,  -0.600000,   1.840000,  -1.200000
   0.000111,   1.200000,  -0.600000,   1.920000,  -1.200000
   0.000111,   1.200000,  -0.600000,   1.920000,  -1.200000
   0.000111,   1.280000,  -0.600000,   1.920000,  -1.000000
   0.000111,   1.280000,  -0.600000,   2.000000,  -1.000000
   0.000112,   1.280000,  -0.400000,   2.000000,  -1.000000
   0.000112,   1.280000,  -0.400000,   2.080000,  -1.000000
